ID,Customer_ID,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
11,2685,4,18,Writer,155760.52,14367.83,3,8,2,1,52,0,23.97,1,Good,233.32,49.66,4 Years and 0 Months,No,546.89,1319.76,High_spent_Small_value_payments,1025.4,Good
12,1769,7,21,Teacher,104907.01,5250.43,2,1,14,7,48,20,10.95,1,Good,2477.08,43.1,0 Years and 0 Months,No,1321.38,1289.09,Low_spent_Large_value_payments,137.66,Standard
13,7949,2,49,Engineer,156431.66,13614.84,4,6,4,5,3,23,20.98,9,Standard,3699.57,28.58,6 Years and 9 Months,NM,520.39,1318.41,High_spent_Medium_value_payments,1035.98,Standard
14,3433,6,50,Writer,151292.91,4049.79,3,8,3,3,48,19,14.43,1,Good,2382.0,43.19,27 Years and 3 Months,Yes,987.25,1347.82,High_spent_Medium_value_payments,1411.9,Standard
15,6311,8,66,Writer,57947.2,3511.76,9,1,3,3,45,16,24.86,8,Standard,2964.7,47.85,3 Years and 10 Months,NM,440.45,1604.72,Low_spent_Medium_value_payments,1179.35,Poor
16,6051,4,43,Accountant,103115.37,8169.74,5,9,11,4,10,3,13.13,12,Standard,4604.63,28.85,2 Years and 10 Months,No,772.1,1216.58,Low_spent_Large_value_payments,935.81,Poor
17,7420,7,34,Engineer,24147.01,10349.66,4,5,5,2,6,4,29.58,11,Standard,2699.22,44.52,17 Years and 3 Months,Yes,1242.47,1752.33,Low_spent_Large_value_payments,145.7,Standard
18,2184,7,56,Doctor,165592.82,1429.52,9,8,29,3,14,4,-0.33,4,Bad,1182.97,27.13,28 Years and 10 Months,NM,1272.61,855.31,Low_spent_Small_value_payments,1191.53,Standard
19,5555,8,40,Teacher,78724.66,3939.14,4,2,28,3,47,13,18.68,10,Standard,3693.13,33.02,17 Years and 10 Months,NM,114.79,1946.91,High_spent_Large_value_payments,994.43,Poor
20,4385,8,49,Manager,76924.95,7270.71,6,7,23,6,25,0,3.6,5,Bad,1877.15,40.71,12 Years and 10 Months,Yes,1393.95,67.23,Low_spent_Medium_value_payments,823.04,Poor
21,7396,7,69,Architect,61468.41,5500.26,1,4,30,6,15,1,1.69,3,Standard,1425.58,27.31,6 Years and 9 Months,NM,782.74,268.16,Low_spent_Large_value_payments,1203.22,Standard
22,9666,5,32,Developer,88312.84,10919.22,2,6,23,0,-3,21,9.29,1,Standard,1242.03,25.62,5 Years and 5 Months,No,328.81,167.42,Low_spent_Small_value_payments,1011.75,Poor
23,3558,7,30,Mechanic,52799.1,8058.48,4,2,22,2,15,9,7.86,2,Bad,396.82,33.88,17 Years and 10 Months,Yes,1246.98,876.55,Low_spent_Small_value_payments,704.55,Poor
24,8849,5,19,Accountant,73724.89,3077.1,9,7,12,8,22,4,-3.38,13,Bad,4664.54,43.5,20 Years and 9 Months,NM,952.83,1175.77,Low_spent_Large_value_payments,351.86,Poor
25,3047,6,36,Mechanic,145991.0,,6,1,27,5,-1,8,9.97,2,Good,2816.79,37.88,14 Years and 7 Months,No,762.0,885.1,Low_spent_Medium_value_payments,756.51,Standard
26,3747,2,41,Teacher,151823.44,4959.26,6,7,15,5,41,12,28.32,14,Good,4775.5,41.04,27 Years and 1 Months,No,1217.55,420.28,Low_spent_Medium_value_payments,231.11,Standard
27,1189,3,62,Engineer,61711.02,11182.06,9,1,23,3,14,22,11.34,10,Bad,4308.94,40.68,7 Years and 8 Months,No,305.78,464.08,High_spent_Medium_value_payments,90.29,Poor
28,3734,5,41,Manager,89732.45,11874.8,4,6,19,8,32,20,5.56,10,Good,151.14,36.33,2 Years and 11 Months,NM,871.74,1614.37,High_spent_Medium_value_payments,350.94,Standard
29,4005,7,28,Architect,158549.36,14476.84,3,1,11,2,31,12,28.22,9,Bad,1236.43,29.47,28 Years and 3 Months,NM,1442.71,106.86,Low_spent_Medium_value_payments,550.65,Standard
30,5658,7,39,Entrepreneur,18954.47,7878.81,7,6,3,7,52,8,12.7,7,Bad,1576.81,32.65,13 Years and 7 Months,Yes,955.64,1983.02,Low_spent_Small_value_payments,970.21,Poor
31,2899,1,32,Scientist,161154.64,9544.86,7,0,16,5,11,13,5.05,7,Good,2449.11,31.42,1 Years and 1 Months,Yes,898.21,1441.42,High_spent_Small_value_payments,749.06,Good
32,8734,7,27,Manager,47261.34,5555.24,9,5,32,1,36,16,22.4,14,Bad,3580.64,22.37,0 Years and 11 Months,Yes,44.18,1842.39,High_spent_Medium_value_payments,1102.72,Poor
33,2267,2,58,Accountant,125351.67,10430.15,6,9,9,2,26,2,2.83,5,Bad,3403.84,46.95,1 Years and 11 Months,Yes,273.97,365.65,Low_spent_Small_value_payments,1106.21,Poor
34,2528,4,44,Mechanic,109033.79,7380.05,2,6,5,0,56,17,3.67,10,Good,4936.36,39.26,11 Years and 8 Months,Yes,918.22,1118.42,High_spent_Medium_value_payments,1059.11,Poor
35,4556,4,26,Manager,103999.93,7014.66,6,3,1,2,15,11,6.35,12,Standard,4616.61,45.72,27 Years and 4 Months,No,1054.0,1057.92,Low_spent_Small_value_payments,821.21,Poor
36,4890,7,69,Lawyer,156091.24,12947.64,8,0,12,3,27,22,8.82,9,Standard,931.33,43.28,19 Years and 1 Months,Yes,1349.74,1241.62,High_spent_Large_value_payments,994.55,Standard
37,9838,1,45,Engineer,27267.26,1512.4,6,5,21,5,0,8,15.4,10,Bad,4299.34,22.05,1 Years and 5 Months,No,1307.0,1555.36,Low_spent_Large_value_payments,1466.14,Poor
38,6393,5,18,Engineer,68994.76,13323.87,9,3,8,6,26,15,13.03,7,Good,4214.68,26.49,6 Years and 3 Months,NM,539.78,1427.5,Low_spent_Medium_value_payments,1058.67,Poor
39,9792,2,34,Lawyer,101502.97,12899.39,4,2,27,2,58,12,21.03,2,Good,2873.99,48.52,10 Years and 11 Months,Yes,1034.8,785.94,High_spent_Large_value_payments,1113.72,Poor
40,9433,1,48,Writer,147919.11,7990.4,3,3,9,6,20,17,20.1,6,Standard,1690.6,33.86,6 Years and 0 Months,No,695.88,1738.6,Low_spent_Medium_value_payments,436.79,Standard
41,8513,5,61,Writer,46795.32,7760.88,5,5,28,3,56,11,-3.41,4,Bad,1043.08,44.36,12 Years and 7 Months,NM,715.55,28.5,High_spent_Small_value_payments,716.98,Poor
42,3612,2,27,Teacher,146498.07,5937.66,3,4,30,0,-1,21,-0.31,13,Standard,1062.29,37.26,28 Years and 11 Months,Yes,1418.02,506.47,Low_spent_Small_value_payments,652.81,Good
43,8041,7,54,Doctor,77938.54,14917.27,2,1,14,0,5,1,2.53,8,Standard,1689.13,44.71,15 Years and 2 Months,Yes,1099.18,1038.93,High_spent_Medium_value_payments,530.21,Standard
44,7235,4,46,Scientist,42115.36,2378.6,2,1,23,7,43,18,15.92,8,Bad,2519.73,42.04,15 Years and 6 Months,NM,1452.23,1718.28,High_spent_Medium_value_payments,689.34,Poor
45,6486,2,35,Lawyer,139027.69,9181.06,4,2,29,6,56,0,26.33,4,Bad,2919.1,28.39,22 Years and 2 Months,Yes,1162.31,797.82,High_spent_Medium_value_payments,897.03,Poor
46,8099,7,64,Teacher,25452.81,10479.88,3,5,26,3,54,5,6.37,5,Bad,1625.2,49.74,4 Years and 1 Months,NM,1088.44,1552.07,Low_spent_Large_value_payments,936.3,Poor
47,1775,6,55,Mechanic,97510.45,14067.49,9,0,22,0,-4,17,28.73,0,Bad,1782.9,34.72,8 Years and 4 Months,Yes,641.38,530.21,Low_spent_Large_value_payments,1259.36,Poor
48,9226,3,56,Lawyer,20858.88,11878.89,7,6,15,5,53,2,1.05,11,Bad,67.6,37.55,3 Years and 9 Months,NM,159.71,1938.69,High_spent_Small_value_payments,984.48,Poor
49,4152,2,66,Doctor,70591.04,9942.63,6,7,9,6,19,21,27.37,13,Bad,10.6,36.21,2 Years and 0 Months,No,945.54,30.91,Low_spent_Medium_value_payments,1304.06,Poor
50,2585,3,23,Developer,112183.06,2458.73,8,6,26,5,36,5,23.04,11,Bad,4535.91,46.56,6 Years and 2 Months,No,702.53,353.67,High_spent_Medium_value_payments,984.92,Poor
51,4943,2,57,Lawyer,104539.64,6107.02,9,2,17,5,49,3,8.62,13,Good,70.07,28.4,10 Years and 9 Months,NM,885.84,43.82,High_spent_Large_value_payments,525.12,Poor
52,8555,3,29,Doctor,78791.42,2771.55,3,5,9,7,32,16,2.22,3,Good,165.61,21.85,16 Years and 9 Months,NM,423.52,34.28,Low_spent_Medium_value_payments,946.31,Standard
53,4073,6,31,Doctor,82938.16,13313.22,7,3,3,5,37,22,8.7,14,Standard,1028.18,32.84,9 Years and 7 Months,No,294.02,1811.44,Low_spent_Large_value_payments,1093.53,Standard
54,2021,4,61,Doctor,48550.82,11444.62,9,4,16,1,47,17,2.48,0,Standard,3716.99,47.55,29 Years and 7 Months,No,397.71,551.8,Low_spent_Large_value_payments,1028.48,Poor
55,4843,8,27,Developer,87500.04,11557.02,1,2,13,6,15,21,14.64,3,Good,3394.6,33.18,28 Years and 2 Months,No,986.35,468.53,High_spent_Medium_value_payments,1274.87,Standard
56,8989,5,37,Engineer,172053.33,10062.04,9,4,26,3,14,6,15.12,11,Good,3235.89,28.33,25 Years and 2 Months,No,1429.47,534.25,Low_spent_Large_value_payments,1358.37,Good
57,7873,3,32,Manager,154577.0,8000.02,7,5,17,2,13,1,21.89,0,Bad,2874.77,38.55,17 Years and 7 Months,Yes,1487.89,1605.64,Low_spent_Small_value_payments,502.82,Standard
58,6675,6,48,Engineer,34689.59,2929.59,4,7,32,7,27,14,13.48,12,Standard,1008.49,42.13,8 Years and 3 Months,No,1212.98,623.57,Low_spent_Large_value_payments,118.38,Poor
59,1161,3,24,Teacher,15062.73,5481.67,6,5,24,4,57,21,7.08,13,Good,1989.67,33.88,19 Years and 11 Months,No,1436.34,1186.21,High_spent_Small_value_payments,984.62,Poor
60,5297,4,58,Engineer,168699.13,2744.2,6,8,22,3,54,16,26.91,9,Bad,2390.5,31.4,12 Years and 4 Months,Yes,425.75,1716.71,High_spent_Medium_value_payments,165.39,Poor
61,1995,3,27,Developer,99547.46,11093.77,6,9,9,3,13,5,-2.27,3,Good,2912.21,30.94,18 Years and 4 Months,Yes,5.32,637.55,Low_spent_Medium_value_payments,1325.97,Standard
62,8629,6,27,Engineer,101432.43,3075.25,2,9,22,4,22,7,23.31,5,Standard,992.15,32.64,3 Years and 7 Months,Yes,291.08,291.61,Low_spent_Large_value_payments,1233.25,Standard
63,2016,7,65,Mechanic,142722.06,10770.01,5,9,20,3,16,7,9.34,8,Good,3645.17,45.28,20 Years and 6 Months,No,951.68,134.96,High_spent_Large_value_payments,1070.29,Standard
64,8869,6,56,Lawyer,63497.13,10630.03,7,9,3,2,45,6,1.34,1,Good,1544.57,34.48,19 Years and 1 Months,NM,1348.98,1126.65,High_spent_Large_value_payments,1389.26,Standard
65,7439,8,45,Engineer,91924.29,7322.12,6,3,33,3,57,3,-0.79,1,Standard,3301.12,29.43,14 Years and 7 Months,No,1372.39,1211.66,Low_spent_Small_value_payments,1330.77,Poor
66,8892,8,47,Architect,174672.7,2720.25,3,1,18,4,56,19,2.73,5,Good,2569.92,25.47,13 Years and 3 Months,NM,1245.98,1742.09,Low_spent_Medium_value_payments,1384.4,Standard
67,7863,8,54,Doctor,124265.28,5270.17,5,8,10,1,23,4,-0.73,10,Standard,2961.07,28.48,11 Years and 8 Months,Yes,1143.54,947.09,Low_spent_Small_value_payments,1103.17,Poor
68,8916,1,20,Lawyer,36136.66,5345.32,8,2,21,6,26,7,11.06,9,Bad,2065.74,33.88,5 Years and 7 Months,Yes,456.29,1734.47,High_spent_Small_value_payments,552.68,Poor
69,9529,4,67,Writer,32648.55,10745.47,5,6,25,4,19,13,7.24,11,Bad,2225.35,36.43,8 Years and 8 Months,Yes,131.61,1028.97,Low_spent_Small_value_payments,71.62,Poor
70,1878,7,60,Mechanic,44725.01,2415.15,3,3,9,8,10,19,7.48,12,Good,4340.94,38.64,15 Years and 8 Months,No,787.8,1180.44,High_spent_Medium_value_payments,92.34,Poor
71,5887,1,32,Developer,140340.98,12572.77,9,0,27,5,9,24,0.49,5,Bad,2379.38,22.14,22 Years and 11 Months,NM,502.9,1075.18,High_spent_Medium_value_payments,1189.72,Poor
72,5859,4,38,Manager,60214.09,11606.3,3,7,15,0,53,2,18.09,11,Standard,3969.44,38.4,18 Years and 7 Months,No,192.26,600.83,High_spent_Medium_value_payments,287.07,Poor
73,7331,7,69,Mechanic,13636.1,3445.56,2,3,32,8,42,24,16.27,2,Standard,1975.12,30.56,6 Years and 8 Months,No,687.43,1687.32,High_spent_Large_value_payments,469.64,Poor
74,9571,3,54,Doctor,170509.64,11012.13,6,5,16,4,12,17,29.38,1,Good,3502.66,27.71,12 Years and 4 Months,Yes,788.37,1768.61,Low_spent_Large_value_payments,879.16,Standard
75,9684,7,29,Lawyer,38851.28,10292.89,8,6,28,8,17,21,0.87,13,Bad,1164.48,29.93,28 Years and 3 Months,Yes,1161.38,1696.85,Low_spent_Medium_value_payments,196.64,Poor
76,8208,6,21,Manager,11624.89,11423.32,6,7,6,0,49,14,24.19,2,Standard,4585.1,43.53,17 Years and 6 Months,Yes,1212.18,214.64,High_spent_Medium_value_payments,1477.99,Poor
77,6276,1,64,Scientist,50312.37,3482.79,1,9,6,1,36,20,-3.81,11,Standard,4836.38,44.1,5 Years and 5 Months,Yes,702.78,1333.0,Low_spent_Medium_value_payments,1225.65,Poor
78,3062,3,26,Accountant,49954.89,3037.78,8,1,2,2,-3,4,-2.43,11,Good,4506.62,23.11,9 Years and 7 Months,Yes,1381.1,888.18,Low_spent_Small_value_payments,877.07,Standard
79,1064,6,56,Mechanic,81740.89,4158.07,1,8,7,4,46,14,17.68,3,Bad,1732.09,34.84,16 Years and 0 Months,Yes,1182.99,195.51,High_spent_Small_value_payments,1362.69,Poor
80,9006,4,59,Manager,166466.27,5995.38,9,9,27,5,5,5,9.23,12,Standard,1382.45,35.88,19 Years and 7 Months,No,648.73,123.62,Low_spent_Large_value_payments,740.36,Standard
81,3568,7,45,Teacher,159461.44,12070.04,8,2,28,4,49,9,3.07,3,Good,912.2,20.91,20 Years and 8 Months,No,525.38,1395.69,High_spent_Large_value_payments,1345.42,Standard
82,6463,6,40,Manager,87672.07,,6,0,16,0,19,22,-4.9,6,Good,4364.97,41.51,18 Years and 11 Months,NM,476.82,795.28,Low_spent_Medium_value_payments,1238.97,Poor
83,3027,3,62,Accountant,79852.98,13941.41,2,1,9,3,35,19,18.21,3,Standard,593.08,31.0,5 Years and 5 Months,No,695.57,764.28,Low_spent_Large_value_payments,21.12,Standard
84,3695,1,57,Doctor,104351.54,1632.54,9,7,15,5,31,14,10.43,9,Standard,3211.65,32.54,3 Years and 11 Months,Yes,495.46,426.15,Low_spent_Medium_value_payments,1195.11,Poor
85,6258,1,61,Lawyer,51387.18,964.1,8,9,34,3,49,19,0.98,13,Good,1657.32,38.3,26 Years and 1 Months,Yes,703.24,1204.25,Low_spent_Small_value_payments,1175.89,Poor
86,6618,8,39,Scientist,18871.45,10727.77,4,5,20,3,3,8,29.03,5,Bad,939.59,34.07,5 Years and 9 Months,NM,865.9,296.79,High_spent_Medium_value_payments,476.07,Poor
87,7736,7,41,Teacher,169668.1,4765.88,2,0,14,4,30,3,7.28,5,Good,922.43,42.44,2 Years and 7 Months,Yes,249.03,8.15,Low_spent_Small_value_payments,739.56,Good
88,1391,6,68,Manager,41738.83,5543.92,6,8,11,7,51,7,5.61,12,Bad,4354.85,37.88,1 Years and 2 Months,NM,1196.84,28.14,Low_spent_Medium_value_payments,207.29,Poor
89,6892,8,43,Architect,43728.12,8564.59,1,6,30,4,57,12,12.86,13,Standard,4299.1,26.78,8 Years and 10 Months,NM,168.93,735.71,High_spent_Large_value_payments,999.87,Poor
90,4561,3,47,Engineer,90318.26,2254.27,7,9,3,6,14,16,4.7,9,Standard,1360.14,46.11,1 Years and 10 Months,Yes,606.52,1437.57,Low_spent_Medium_value_payments,1011.59,Poor
91,7184,8,50,Doctor,93574.27,9926.26,1,2,2,7,41,3,4.55,2,Standard,168.83,26.47,26 Years and 10 Months,No,247.83,1205.14,High_spent_Small_value_payments,1472.19,Standard
92,4099,2,33,Mechanic,13133.82,5417.09,6,6,14,5,14,1,28.82,8,Good,4345.43,41.41,25 Years and 11 Months,No,455.89,501.38,High_spent_Large_value_payments,1084.13,Poor
93,7278,4,39,Mechanic,35152.31,,5,5,29,5,0,4,4.14,14,Bad,286.63,43.77,16 Years and 2 Months,No,687.43,203.91,High_spent_Large_value_payments,671.02,Poor
94,9392,8,66,Accountant,74286.32,12642.9,3,2,5,1,23,1,16.19,13,Good,423.6,40.65,25 Years and 5 Months,NM,1123.13,723.69,Low_spent_Medium_value_payments,270.41,Good
95,4104,4,67,Doctor,126234.22,,6,7,6,4,43,15,-3.69,9,Good,4109.6,32.65,23 Years and 9 Months,No,940.63,1792.83,Low_spent_Medium_value_payments,1181.57,Poor
96,8215,3,60,Teacher,48831.14,14018.4,4,0,8,0,0,22,0.4,13,Good,4086.1,46.34,4 Years and 1 Months,NM,541.09,693.78,High_spent_Large_value_payments,530.69,Standard
97,3454,2,35,Writer,81912.46,8335.77,6,4,29,8,33,22,-4.23,4,Bad,1012.45,29.83,27 Years and 7 Months,NM,886.42,240.03,Low_spent_Medium_value_payments,1415.59,Poor
98,9996,1,24,Scientist,104748.66,13905.57,4,7,27,6,26,14,13.71,9,Bad,191.09,40.61,15 Years and 1 Months,Yes,444.48,1782.32,Low_spent_Large_value_payments,415.63,Poor
99,3731,7,67,Developer,161060.72,3749.77,1,2,16,1,43,24,12.21,14,Standard,314.91,46.33,19 Years and 8 Months,Yes,1257.72,647.95,High_spent_Large_value_payments,294.9,Standard
100,9154,5,43,Teacher,65431.99,9384.79,5,9,27,5,37,3,6.58,14,Good,2266.95,24.66,22 Years and 2 Months,No,724.76,1543.92,High_spent_Small_value_payments,930.65,Standard
101,6056,5,25,Scientist,32704.91,6535.2,8,5,1,8,22,14,19.51,8,Bad,2091.17,39.58,0 Years and 10 Months,Yes,1075.14,546.22,High_spent_Large_value_payments,1373.45,Poor
102,9110,7,23,Entrepreneur,93176.28,11793.96,6,9,33,4,39,4,16.9,9,Good,911.44,47.03,21 Years and 8 Months,No,467.93,1738.24,Low_spent_Medium_value_payments,211.6,Good
103,4840,3,47,Lawyer,136942.67,9403.91,9,1,27,2,59,2,16.01,5,Standard,4545.2,23.09,19 Years and 10 Months,NM,1016.01,163.73,Low_spent_Small_value_payments,62.01,Standard
104,2028,2,56,Lawyer,28676.16,7822.12,4,8,17,3,44,13,6.77,5,Standard,2762.05,24.37,6 Years and 2 Months,Yes,1390.16,506.38,Low_spent_Large_value_payments,1451.08,Poor
105,8385,2,40,Doctor,82196.19,13764.39,9,1,15,2,48,6,6.45,8,Good,4036.69,31.35,0 Years and 4 Months,No,161.65,1454.94,Low_spent_Medium_value_payments,205.09,Poor
106,1502,4,49,Doctor,13023.47,6155.06,8,4,22,0,45,14,25.57,12,Standard,518.63,49.83,0 Years and 1 Months,Yes,885.9,789.02,High_spent_Medium_value_payments,911.28,Poor
107,7910,1,39,Mechanic,15705.06,3923.72,3,2,19,6,37,4,14.04,9,Bad,4867.29,26.72,6 Years and 0 Months,Yes,751.4,1101.21,Low_spent_Large_value_payments,298.65,Poor
108,7938,6,59,Developer,92102.07,9435.04,6,9,28,7,58,8,4.53,14,Bad,4048.69,29.74,21 Years and 6 Months,NM,811.47,554.03,High_spent_Medium_value_payments,251.52,Poor
109,5488,8,60,Developer,60693.54,9661.2,4,8,23,1,24,12,14.01,12,Bad,1439.12,45.05,19 Years and 3 Months,Yes,291.9,722.51,Low_spent_Large_value_payments,234.07,Poor
110,1206,2,62,Engineer,153668.24,7035.14,1,8,20,7,36,6,4.34,4,Bad,103.93,23.92,1 Years and 4 Months,No,40.65,1212.94,High_spent_Large_value_payments,1064.96,Poor
111,6134,7,26,Accountant,112366.23,7709.86,9,6,9,8,32,3,1.49,2,Standard,822.54,49.89,27 Years and 6 Months,Yes,106.91,1584.86,Low_spent_Large_value_payments,1139.43,Standard
112,6977,6,48,Entrepreneur,87168.6,14425.66,4,9,23,6,9,6,4.88,2,Bad,2092.53,42.17,13 Years and 3 Months,NM,426.27,1783.93,Low_spent_Medium_value_payments,179.7,Poor
113,8721,5,24,Entrepreneur,79349.01,11204.14,5,4,7,0,55,0,17.01,1,Standard,14.93,48.78,23 Years and 7 Months,NM,1281.59,717.67,High_spent_Medium_value_payments,204.85,Poor
114,8035,6,26,Engineer,94531.73,2370.54,3,8,31,3,0,14,13.05,1,Standard,204.2,24.33,26 Years and 6 Months,NM,1210.29,1260.81,Low_spent_Small_value_payments,1401.5,Standard
115,2484,1,30,Teacher,16874.6,3812.25,4,6,11,6,18,14,0.76,13,Good,493.18,26.97,29 Years and 2 Months,No,1493.13,995.93,High_spent_Medium_value_payments,883.29,Good
116,8858,7,20,Mechanic,161774.87,14653.19,9,1,17,5,8,17,26.78,5,Standard,4048.58,31.12,9 Years and 11 Months,NM,1110.8,1312.64,High_spent_Small_value_payments,1171.94,Poor
117,1863,1,52,Scientist,179711.54,11115.81,7,9,26,7,6,14,12.44,7,Good,2734.33,21.53,8 Years and 7 Months,NM,526.83,1243.74,High_spent_Small_value_payments,120.83,Good
118,3790,6,50,Writer,40852.81,13793.64,8,0,18,5,49,2,22.78,12,Standard,954.9,21.82,9 Years and 0 Months,No,1377.38,1240.47,High_spent_Large_value_payments,78.62,Poor
119,8408,8,38,Developer,30465.1,5114.83,3,9,31,5,38,4,6.57,10,Bad,1322.33,47.11,8 Years and 6 Months,No,1186.0,872.55,High_spent_Small_value_payments,594.3,Poor
120,9755,3,48,Manager,34408.17,11334.51,3,9,28,5,45,4,28.51,7,Good,3210.89,21.28,9 Years and 9 Months,No,1048.42,587.08,High_spent_Large_value_payments,832.88,Standard
121,6116,2,69,Entrepreneur,122374.6,10938.84,7,3,26,6,32,15,21.32,7,Standard,1593.05,42.5,14 Years and 3 Months,No,804.23,842.49,Low_spent_Small_value_payments,558.75,Standard
122,7019,7,51,Architect,122444.94,4984.6,8,9,6,4,35,22,10.91,9,Standard,3410.66,41.53,20 Years and 6 Months,No,1075.55,1674.17,Low_spent_Large_value_payments,1070.15,Poor
123,2757,3,49,Entrepreneur,154147.11,8621.59,5,7,34,8,38,24,26.58,6,Good,3891.14,22.18,15 Years and 7 Months,Yes,1438.16,685.71,High_spent_Small_value_payments,1004.22,Poor
124,8574,6,52,Developer,137810.49,9709.29,1,5,28,6,10,9,20.11,1,Good,1533.12,25.63,13 Years and 3 Months,NM,1293.42,1722.88,Low_spent_Large_value_payments,670.28,Standard
125,7374,2,32,Lawyer,86447.24,7632.07,3,1,9,0,44,24,10.07,14,Bad,1832.56,33.64,6 Years and 5 Months,No,291.69,332.51,High_spent_Large_value_payments,119.13,Poor
126,7892,4,49,Engineer,114185.41,12545.94,5,4,29,8,32,21,29.09,9,Bad,250.37,39.25,8 Years and 3 Months,NM,146.44,1107.47,Low_spent_Small_value_payments,893.29,Poor
127,2678,3,23,Accountant,127008.39,12626.74,3,8,34,5,-1,22,5.45,10,Standard,4098.99,46.87,19 Years and 2 Months,Yes,24.86,218.25,High_spent_Large_value_payments,362.82,Standard
128,4242,3,62,Writer,97165.2,12878.53,1,5,12,7,3,12,3.98,1,Standard,3030.35,35.8,12 Years and 7 Months,Yes,1069.23,884.92,High_spent_Medium_value_payments,578.76,Standard
129,5636,6,38,Writer,90860.67,12208.61,7,5,16,8,33,14,26.31,12,Standard,4441.34,48.09,23 Years and 3 Months,No,418.37,1941.07,Low_spent_Large_value_payments,21.6,Poor
130,2059,5,50,Lawyer,119666.57,7730.79,1,6,7,1,21,7,19.76,9,Standard,944.6,25.71,2 Years and 5 Months,NM,1077.33,1252.64,High_spent_Medium_value_payments,781.66,Standard
131,7668,6,49,Architect,104770.67,6216.42,6,4,31,1,26,19,7.09,6,Good,4803.0,38.68,24 Years and 7 Months,NM,276.23,35.64,High_spent_Medium_value_payments,1048.49,Poor
132,4157,3,69,Doctor,119470.19,12605.54,6,2,33,4,58,6,3.11,3,Good,3533.68,45.34,6 Years and 6 Months,Yes,655.1,1645.06,Low_spent_Medium_value_payments,866.25,Standard
133,6915,2,36,Developer,114185.31,7760.86,7,2,7,4,27,13,1.23,5,Standard,983.05,27.0,20 Years and 1 Months,Yes,20.4,1001.1,Low_spent_Large_value_payments,1127.36,Standard
134,3693,8,50,Writer,132263.42,4298.47,1,4,3,1,12,5,5.97,8,Standard,2314.86,43.66,8 Years and 2 Months,Yes,162.97,1343.1,High_spent_Large_value_payments,1499.12,Standard
135,4627,5,45,Teacher,119276.6,8004.28,3,3,20,3,-1,7,-0.61,4,Bad,3494.75,32.01,24 Years and 9 Months,No,122.15,1284.26,High_spent_Large_value_payments,948.85,Poor
